Prefectura,Capital,Población,,
Hokkaido,Sapporo,"5,248,925",,
Aomori,Aomori,"1,210,688",,
Iwate,Morioka,"1,205,989",,"Japón se divide en 47 prefecturas (todas ellas equivalentes a estados o provincias). Aquí te proporciono una tabla con la lista de las 47 prefecturas de Japón, su capital y su población según los datos del censo de 2020:"
Miyagi,Sendai,"2,293,362",,
Akita,Akita,"966,032",,
Yamagata,Yamagata,"1,024,685",,
Fukushima,Fukushima,"1,827,406",,
Ibaraki,Mito,"2,831,448",,
Tochigi,Utsunomiya,"1,937,616",,
Gunma,Maebashi,"1,949,910",,
Saitama,Saitama,"7,383,840",,
Chiba,Chiba,"6,236,078",,
Tokyo,Tokyo,"13,515,271",,
Kanagawa,Yokohama,"9,217,510",,
Niigata,Niigata,"2,204,631",,
Toyama,Toyama,"1,013,665",,
Ishikawa,Kanazawa,"1,120,398",,
Fukui,Fukui,"757,233",,
Yamanashi,Kofu,"822,92",,
Nagano,Nagano,"2,052,070",,
Gifu,Gifu,"1,976,912",,
Shizuoka,Shizuoka,"3,637,034",,
Aichi,Nagoya,"7,535,428",,
Mie,Tsu,"1,780,104",,
Shiga,Otsu,"1,379,312",,
Kyoto,Kyoto,"2,579,564",,
Osaka,Osaka,"8,820,611",,
Hyogo,Kobe,"5,427,027",,
Nara,Nara,"1,335,582",,
Wakayama,Wakayama,"925,371",,
Tottori,Tottori,"543,752",,
Shimane,Matsue,"673,939",,
Okayama,Okayama,"1,874,696",,
Hiroshima,Hiroshima,"2,767,383",,
Yamaguchi,Yamaguchi,"1,354,497",,
Tokushima,Tokushima,"725,259",,
Kagawa,Takamatsu,"948,071",,
Ehime,Matsuyama,"1,315,111",,
Kochi,Kochi,"691,978",,
Fukuoka,Fukuoka,"5,083,579",,
Saga,Saga,"784,197",,
Nagasaki,Nagasaki,"1,308,207",,
Kumamoto,Kumamoto,"1,659,392",,
Oita,Oita,"1,128,739",,
Miyazaki,Miyazaki,"1,051,881",,
Kagoshima,Kagoshima,"1,568,011",,
Okinawa,Naha,"1,453,128",,
