idcountry,date,id_ubicacion,depth,magnitude,deaths
3,2022-09-22,1,24 km,6.8,3
3,2022-09-19,2,15 km,7.6,2
3,2022-05-25,3,34 km,5.5,0
3,2021-09-08,4,20 km,7.0,3
3,2020-06-23,3,26 km,7.4,10
3,2019-02-01,5,66 km,6.7,0
3,2018-02-16,3,22 km,7.2,14
3,2017-09-23,3,48 km,6.1,5
3,2017-09-19,6,7 km,7.1,369
3,2017-09-08,7,2 km,8.2,98
3,2015-12-17,8,5 km,6.6,2
3,2014-07-29,3,7 km,6.3,1
3,2014-07-07,9,7 km,6.9,3
3,2014-05-08,10,21 km,6.4,0
3,2014-04-18,11,32 km,7.2,0
3,2013-08-21,12,7 km,6.2,0
3,2012-03-20,13,47 km,7.4,2
3,2011-12-11,4,25 km,6.4,2
3,2010-06-30,14,27 km,6.2,1
3,2010-04-04,15,43 km,7.2,2
3,2009-12-30,16,57 km,5.9,0
3,2008-02-09,15,5 km,5.1,0
3,2007-04-13,17,23 km,6.0,0
3,2006-09-10,18,8 km,5.8,0
3,2004-01-01,19,50 km,6.1,0
3,2003-01-22,20,34 km,7.5,29
3,2002-09-25,21,48 km,5.3,0
3,2002-02-22,22,41 km,5.5,0
3,2002-01-30,23,3 km,5.9,0
3,1999-09-30,3,15 km,7.5,35
3,1999-06-21,24,4 km,6.3,0
3,1999-06-15,25,5 km,7.0,20
3,1998-02-03,26,,6.3,0
3,1997-01-11,27,26 km,7.2,1
3,1996-02-25,28,15 km,7.1,0
3,1995-10-09,29,53 km,8.0,49
3,1995-09-14,30,31 km,7.4,3
3,1989-04-25,31,,6.8,3
3,1985-09-21,32,13 km,7.6,0
3,1985-09-19,33,47 km,8.1,9500
3,1983-01-24,34,39 km,6.7,0
3,1982-06-07,35,40 km,7.0,9
3,1982-03-28,36,52 km,3.5,10
3,1981-10-25,37,15 km,7.3,9
3,1980-10-24,38,35 km,6.4,300
3,1980-06-09,39,18 km,6.4,1
3,1979-03-14,4,16 km,7.6,5
3,1978-11-29,3,47 km,7.7,9
3,1978-03-19,21,14 km,6.6,1
3,1976-06-07,40,39 km,6.4,0
3,1973-08-28,41,40 km,6.2,600
3,1973-01-30,42,12 km,7.5,56
3,1968-09-25,43,,5.7,20
3,1968-08-02,44,,7.5,18
3,1965-08-23,45,2 km,7.8,6
3,1964-07-06,4,,7.4,78
3,1962-05-19,46,15 km,7.2,3
3,1962-05-11,46,54 km,7.0,4
3,1959-08-26,47,31 km,6.9,25
3,1959-05-24,48,,6.8,0
3,1957-07-28,49,1 km,7.9,65
3,1956-01-08,4,26 km,6.5,0
3,1954-02-05,36,,6.2,6
3,1951-07-09,50,,6.2,1
3,1950-12-14,21,49 km,7.5,0
3,1950-11-17,4,,6.8,0
2,2023-05-05,51,8 km,6.2,1
2,2022-03-16,52,63 km,7.3,4
2,2021-03-20,53,43 km,7.0,0
2,2021-02-13,52,49 km,7.1,1
2,2019-06-18,54,12 km,6.4,0
