Hora y día cuando fue detectado el terremoto;Lugar del epicentro;Magnitud;La mayor intensidad sísmica;Hora y día de la emisión
2023/05/13 12:18;Mares cercanos de Isla Chichishima;4.5;1;2023/05/13 12:22
2023/05/13 12:03;Mares cercanos de Islas Tokara;2.0;1;2023/05/13 12:06
2023/05/13 10:36;Mares cercanos de Islas Tokara;2.5;1;2023/05/13 10:39
2023/05/13 10:09;Mares cercanos de Islas Tokara;3.1;3;2023/05/13 10:14
2023/05/13 08:59;Mares cercanos de Islas Tokara;1.9;1;2023/05/13 09:02
2023/05/13 08:11;Mares cercanos de Islas Tokara;2.2;1;2023/05/13 08:14
2023/05/13 05:51;Mares cercanos de Islas Tokara;2.3;1;2023/05/13 05:55
2023/05/13 05:47;Mares cercanos de Islas Tokara;1.9;1;2023/05/13 05:51
2023/05/13 05:45;Alta mar de Península de Noto;2.5;1;2023/05/13 05:48
2023/05/13 05:01;Mares cercanos de Islas Tokara;2.5;2;2023/05/13 05:04
2023/05/13 03:57;Mares cercanos de Islas Tokara;2.0;1;2023/05/13 04:01
2023/05/13 03:51;Mares cercanos de Islas Tokara;2.3;1;2023/05/13 03:54
2023/05/13 03:39;Mares cercanos de Islas Tokara;2.3;1;2023/05/13 03:42
2023/05/13 03:31;Mares cercanos de Islas Tokara;2.1;1;2023/05/13 03:34
2023/05/13 03:28;Mares cercanos de Islas Tokara;2.9;2;2023/05/13 03:31
2023/05/13 03:16;Mares cercanos de Islas Tokara;3.1;1;2023/05/13 03:19
2023/05/13 03:03;Mares cercanos de Islas Tokara;2.0;1;2023/05/13 03:05
2023/05/13 02:54;Mares cercanos de Islas Tokara;2.3;1;2023/05/13 02:56
2023/05/13 02:48;Este, Fujigoko de Prefectura de Yamanashi;2.8;1;2023/05/13 02:50
2023/05/13 02:35;Mares cercanos de Islas Tokara;2.4;1;2023/05/13 02:37
2023/05/13 02:31;Mares cercanos de Islas Tokara;2.0;1;2023/05/13 02:35
2023/05/13 02:20;Mares cercanos de Islas Tokara;2.8;2;2023/05/13 02:23
