hora y día cuando fue detectado el terremoto,lugar del epicentro,magnitud,la mayor intensidad sísmica,hora y día de la emisión,idcountry
2023/05/15 13:46,Mares cercanos de Islas Tokara,2.8,2,2023/05/15 13:50,2
2023/05/15 13:34,Mares cercanos de Islas Tokara,3.3,3,2023/05/15 13:38,2
2023/05/15 10:36,Mares cercanos de Islas Tokara,2.8,2,2023/05/15 10:39,2
2023/05/15 05:31,Canal de Bongo,3.2,1,2023/05/15 05:33,2
2023/05/15 05:06,Mares cercanos de Islas Tokara,2.6,1,2023/05/15 05:08,2
2023/05/15 02:03,Este de Prefectura de Shimane,3.5,1,2023/05/15 02:06,2
2023/05/15 00:57,"Región Noto, Prefectura de Ishikawa",2.7,1,2023/05/15 01:00,2
2023/05/15 00:54,"Región Noto, Prefectura de Ishikawa",3.2,1,2023/05/15 00:56,2
2023/05/15 00:21,Alta mar noroeste de Isla principal de Okunawa,4.2,1,2023/05/15 00:24,2
2023/05/14 21:04,"Región Noto, Prefectura de Ishikawa",2.9,2,2023/05/14 21:08,2
2023/05/14 19:00,Alta mar Sudeste de Isla de etorofu,4.7,1,2023/05/14 19:07,2
2023/05/14 18:09,Mares cercanos de Islas Tokara,1.9,1,2023/05/14 18:12,2
2023/05/14 18:06,Norte de región Kamikawa,1.5,1,2023/05/14 18:10,2
2023/05/14 13:23,Mares cercanos de Isla de Hachijyo,5.2,2,2023/05/14 13:26,2
2023/05/14 12:09,Mares cercanos de Islas Tokara,2.2,1,2023/05/14 12:12,2
2023/05/14 11:21,Mares cercanos de Isla de Hachijyo,4.8,1,2023/05/14 11:24,2
2023/05/14 11:03,Mares cercanos de Isla de Hachijyo,5.4,2,2023/05/14 11:06,2
2023/05/14 10:56,Mares cercanos de Isla de Hachijyo,5.0,1,2023/05/14 10:59,2
2023/05/14 10:48,Mares cercanos de Islas Tokara,2.6,2,2023/05/14 10:52,2
2023/05/14 08:29,Mares cercanos de Isla de Hachijyo,4.7,1,2023/05/14 08:33,2
2023/05/14 07:11,Mares cercanos de Isla de Hachijyo,5.9,2,2023/05/14 07:15,2
2023/05/14 05:44,Mares cercanos de Isla de Hachijyo,5.3,1,2023/05/14 05:50,2
2023/05/14 05:21,Mares cercanos de Isla de Hachijyo,5.9,2,2023/05/14 05:25,2
2023/05/14 05:12,Mares cercanos de Isla de Hachijyo,5.6,3,2023/05/14 05:16,2
2023/05/14 04:03,Mares cercanos de Isla de Hachijyo,4.7,1,2023/05/14 04:06,2
2023/05/14 00:35,Mares cercanos de Islas Tokara,1.8,1,2023/05/14 00:38,2
2023/05/13 20:52,Centro de Prefectura de Miyagi,2.8,1,2023/05/13 20:54,2
2023/05/13 20:33,Mares cercanos de Islas Tokara,3.2,2,2023/05/13 20:35,2
2023/05/13 19:41,Mares cercanos de Islas Tokara,2.6,1,2023/05/13 19:44,2
2023/05/13 19:05,Mares cercanos de Islas Tokara,2.0,1,2023/05/13 19:08,2
2023/05/13 18:30,Mares cercanos de Islas Tokara,2.7,1,2023/05/13 18:33,2
2023/05/13 14:18,Mares cercanos de Isla Chichishima,4.5,1,2023/05/13 14:22,2
