id_categoria,valor,year,idsimulacro
1,40127,2015,1
2,174239,2015,1
3,29033389,2015,1
4,3622510,2015,1
5,907190,2015,1
6,397396,2015,1
7,647443,2015,1
8,20800,2015,1
9,1060270,2015,1
10,9718,2015,1
11,407668,2015,1
12,42871,2015,1
13,13910,2015,1
14,450072,2015,1
15,35724,2015,1
16,54390,2015,1
17,213529,2015,1
18,14705,2015,1
19,5414,2015,1
20,14752,2015,1
21,676,2015,1
22,2128,2015,1
23,2879,2015,1
24,12474,2015,1
25,26217,2015,1
26,73664,2015,1
1,33181,2016,1
2,151151,2016,1
3,27976588,2016,1
4,3589485,2016,1
5,856659,2016,1
6,7383837,2016,1
7,7080177,2016,1
8,22987,2016,1
9,831425,2016,1
10,6972,2016,1
11,435619,2016,1
12,39345,2016,1
13,15139,2016,1
14,960235,2016,1
15,40836,2016,1
16,63508,2016,1
17,216921,2016,1
18,13442,2016,1
19,3757,2016,1
20,5350,2016,1
21,1383,2016,1
22,1193,2016,1
23,2819,2016,1
24,11617,2016,1
25,11414,2016,1
26,42791,2016,1
1,41953,2017,1
2,148217,2017,1
3,27227522,2017,1
4,3339236,2017,1
5,1031302,2017,1
6,7360960,2017,1
7,7132832,2017,1
8,28268,2017,1
9,927556,2017,1
10,9333,2017,1
11,495346,2017,1
12,50771,2017,1
13,15743,2017,1
14,810760,2017,1
15,20079,2017,1
16,75093,2017,1
17,230109,2017,1
18,11887,2017,1
19,5186,2017,1
20,7675,2017,1
21,1519,2017,1
22,893,2017,1
23,2731,2017,1
24,2415766,2017,1
25,15846,2017,1
26,215359,2017,1
1,35883,2018,1
2,154341,2018,1
3,28644705,2018,1
4,3603438,2018,1
5,1639372,2018,1
6,8414479,2018,1
7,10666246,2018,1
8,37783,2018,1
9,1129098,2018,1
10,7823,2018,1
11,618106,2018,1
12,57893,2018,1
13,17940,2018,1
14,844491,2018,1
15,24122,2018,1
16,92987,2018,1
17,236834,2018,1
18,10808,2018,1
19,1932,2018,1
20,4728,2018,1
21,275,2018,1
22,1421,2018,1
23,3353,2018,1
24,14092,2018,1
25,19847,2018,1
26,41480,2018,1
1,41879,2019,1
2,141253,2019,1
3,30920617,2019,1
4,3902562,2019,1
5,1803590,2019,1
6,9517247,2019,1
7,10796108,2019,1
8,27917,2019,1
9,1035874,2019,1
10,10423,2019,1
11,693320,2019,1
12,72666,2019,1
13,21733,2019,1
14,890421,2019,1
15,27094,2019,1
16,62017,2019,1
17,201890,2019,1
18,15969,2019,1
19,8037,2019,1
20,30963,2019,1
21,763,2019,1
22,1933,2019,1
23,4146,2019,1
24,18963,2019,1
25,23145,2019,1
26,65219,2019,1
1,37265,2020,1
2,98228,2020,1
3,9181664,2020,1
4,1780489,2020,1
5,704593,2020,1
6,293784,2020,1
7,10735734,2020,1
8,14439,2020,1
9,499723,2020,1
10,3806,2020,1
11,543635,2020,1
12,48684,2020,1
13,10495,2020,1
14,626437,2020,1
15,25079,2020,1
16,32600,2020,1
17,281381,2020,1
18,8621,2020,1
19,15051,2020,1
20,2012,2020,1
21,142,2020,1
22,2783,2020,1
23,3845,2020,1
24,14373,2020,1
25,5916,2020,1
26,79952,2020,1
1,22590,2021,1
2,93543,2021,1
3,11152866,2021,1
4,2124850,2021,1
5,949408,2021,1
6,5477518,2021,1
7,4596608,2021,1
8,16495,2021,1
9,461784,2021,1
10,4901,2021,1
11,538510,2021,1
12,264124,2021,1
13,12970,2021,1
14,625542,2021,1
15,27383,2021,1
16,106811,2021,1
17,168369,2021,1
18,6510,2021,1
19,15201,2021,1
20,2815,2021,1
21,113,2021,1
22,1635,2021,1
23,3489,2021,1
24,10330,2021,1
25,25711,2021,1
26,1179677,2021,1
1,23153,2022,1
2,155918,2022,1
3,14334728,2022,1
4,2955674,2022,1
5,1404572,2022,1
6,6280057,2022,1
7,11344415,2022,1
8,12820,2022,1
9,579945,2022,1
10,6989,2022,1
11,671384,2022,1
12,77764,2022,1
13,15029,2022,1
14,1885285,2022,1
15,30699,2022,1
16,42748,2022,1
17,189032,2022,1
18,10208,2022,1
19,15415,2022,1
20,5147,2022,1
21,433,2022,1
22,2690,2022,1
23,3758,2022,1
24,13018,2022,1
25,8275,2022,1
26,127697,2022,1
1,3545,2023,1
2,11975,2023,1
3,829358,2023,1
4,234131,2023,1
5,56863,2023,1
6,28948,2023,1
7,17417,2023,1
8,1412,2023,1
9,35339,2023,1
10,396,2023,1
11,33100,2023,1
12,6747,2023,1
13,1504,2023,1
14,11467,2023,1
15,2447,2023,1
16,763,2023,1
17,7954,2023,1
18,205,2023,1
19,35,2023,1
20,355,2023,1
21,12,2023,1
22,9,2023,1
23,874,2023,1
24,1513,2023,1
25,272,2023,1
26,1759,2023,1
