pais,participantes,año,idCountry,idSimulacro
Alaska,126981,2015,1,1
Alaska,126833,2016,1,1
Alaska,126395,2017,1,1
Alaska,140632,2018,1,1
Alaska,176560,2019,1,1
Alaska,134305,2020,1,1
Alaska,107158,2021,1,1
Alaska,110412,2022,1,1
Arizona,74431,2015,1,1
Arizona,66096,2016,1,1
Arizona,111354,2017,1,1
Arizona,121875,2018,1,1
Arizona,88442,2019,1,1
Arizona,31454,2020,1,1
Arizona,47188,2021,1,1
Arizona,70374,2022,1,1
California,10500562,2015,1,1
California,10667904,2016,1,1
California,10543917,2017,1,1
California,10343483,2018,1,1
California,10849082,2019,1,1
California,6590465,2020,1,1
California,7603849,2021,1,1
California,9591067,2022,1,1
Colorado,5675,2015,1,1
Colorado,2247,2016,1,1
Colorado,1510,2017,1,1
Colorado,9712,2018,1,1
Colorado,13625,2019,1,1
Colorado,8148,2020,1,1
Colorado,1981,2021,1,1
Colorado,9733,2022,1,1
Hawaii,244203,2015,1,1
Hawaii,236242,2016,1,1
Hawaii,66629,2017,1,1
Hawaii,85231,2018,1,1
Hawaii,42624,2019,1,1
Hawaii,22787,2020,1,1
Hawaii,28577,2021,1,1
Hawaii,31070,2022,1,1
Idaho,125604,2015,1,1
Idaho,81524,2016,1,1
Idaho,93827,2017,1,1
Idaho,83445,2018,1,1
Idaho,80794,2019,1,1
Idaho,47571,2020,1,1
Idaho,61136,2021,1,1
Idaho,80039,2022,1,1
Montana,167069,2015,1,1
Montana,114160,2016,1,1
Montana,142090,2017,1,1
Montana,135800,2018,1,1
Montana,119446,2019,1,1
Montana,87258,2020,1,1
Montana,102144,2021,1,1
Montana,99014,2022,1,1
Nevada,634519,2015,1,1
Nevada,593021,2016,1,1
Nevada,598446,2017,1,1
Nevada,600968,2018,1,1
Nevada,592550,2019,1,1
Nevada,540650,2020,1,1
Nevada,542106,2021,1,1
Nevada,596670,2022,1,1
New Mexico,16650,2015,1,1
New Mexico,17586,2016,1,1
New Mexico,6625,2017,1,1
New Mexico,3440,2018,1,1
New Mexico,8754,2019,1,1
New Mexico,4187,2020,1,1
New Mexico,685,2021,1,1
New Mexico,8403,2022,1,1
Oregon,554814,2015,1,1
Oregon,500326,2016,1,1
Oregon,585727,2017,1,1
Oregon,668914,2018,1,1
Oregon,744299,2019,1,1
Oregon,285997,2020,1,1
Oregon,553006,2021,1,1
Oregon,557114,2022,1,1
Texas,32463,2015,1,1
Texas,35903,2016,1,1
Texas,37958,2017,1,1
Texas,40148,2018,1,1
Texas,34592,2019,1,1
Texas,13238,2020,1,1
Texas,2010,2021,1,1
Texas,4472,2022,1,1
Utah,962305,2015,1,1
Utah,1003682,2016,1,1
Utah,1012117,2017,1,1
Utah,998602,2018,1,1
Utah,1020036,2019,1,1
Utah,664986,2020,1,1
Utah,739581,2021,1,1
Utah,885514,2022,1,1
Washington State,1084030,2015,1,1
Washington State,1101578,2016,1,1
Washington State,1264502,2017,1,1
Washington State,1385627,2018,1,1
Washington State,1545326,2019,1,1
Washington State,976158,2020,1,1
Washington State,1362232,2021,1,1
Washington State,1390163,2022,1,1
Wyoming,28497,2015,1,1
Wyoming,25712,2016,1,1
Wyoming,29697,2017,1,1
Wyoming,31386,2018,1,1
Wyoming,8831,2019,1,1
Wyoming,8551,2020,1,1
Wyoming,13164,2021,1,1
Wyoming,15802,2022,1,1
Japan,5272988,2015,2,1
Japan,6143332,2016,2,1
Japan,6668692,2017,2,1
Japan,6297584,2018,2,1
Japan,6837776,2019,2,1
Japan,3328410,2020,2,1
Japan,2131481,2021,2,1
Japan,4767623,2022,2,1
Mexico,"732,982",2015,3,1
Mexico,"732,982",2016,3,1
Mexico,"7,735,476",2017,3,1
Mexico,"8,731,167",2018,3,1
Mexico,"9,730,616",2019,3,1
Mexico,297,2020,3,1
Mexico,"5,071,926",2021,3,1
Mexico,"6,003,647",2022,3,1
