idcountry,year,month,id_ubicacion,distance,types,code,mag,felt,cdi,mmi,tsunami,sig,net,nst,dmin,rms,gap,magtype
1,1975,6,1,3 km NNW of Fayette,",origin,shakemap,trump-shakemap,",p0000brg,4.5,,,5.447,0,312,us,,,,,mb
1,1997,10,1,15 km NNW of Flomaton,",impact-text,origin,phase-data,shakemap,trump-shakemap,",p00089hq,4.8,,,6.012,0,354,us,,,0.98,,mb
1,2003,4,1,8 km S of Valley Head,",associate,dyfi,focal-mechanism,impact-text,losspager,origin,phase-data,poster,shakemap,trump-shakemap,",605341,4.6,17204.0,6.0,4.987,0,926,se,21.0,,0.07,154.0,mw
1,2004,11,1,4 km W of Forkland,",associate,dyfi,impact-text,moment-tensor,origin,phase-data,",p000d7vw,4.3,85.0,5.0,,0,327,us,61.0,,0.9,78.9,mwr
1,1970,1,2,Rat Islands,",impact-text,origin,trump-origin,",800290,5.73,,,,0,505,iscgem,,,,,mw
1,1970,1,3,63 km WNW of Ninilchik,",impact-text,origin,trump-origin,",800129,5.62,,,,0,486,iscgem,,,,,mw
1,1970,2,3,293 km SW of Adak,",impact-text,origin,trump-origin,",799476,6.06,,,,0,565,iscgem,,,,,mw
1,1970,2,3,165 km SE of Cordova,",impact-text,origin,trump-origin,",799398,6.17,,,,0,586,iscgem,,,,,mw
1,1970,3,3,161 km S of Attu Station,",impact-text,origin,trump-origin,",798211,6.31,,,,0,613,iscgem,,,,,mw
1,1970,3,3,292 km SW of Adak,",origin,",798207,5.54,,,,0,472,iscgem,,,,,mw
1,1970,3,3,96 km S of Chenega,",impact-text,origin,",3095,4.8,,,,0,354,ushis,,,,,ms
1,1970,3,3,16 km SSW of Larsen Bay,",impact-text,origin,shakemap,trump-origin,",797882,5.99,,,5.476,0,552,iscgem,,,,,mw
1,1970,4,3,123 km W of Attu Station,",origin,",797199,5.96,,,,0,546,iscgem,,,,,mw
1,1970,4,3,174 km W of Yakutat,",impact-text,origin,trump-origin,",796899,5.67,,,,0,495,iscgem,,,,,mw
1,1970,4,3,53 km W of Anchor Point,",impact-text,origin,shakemap,trump-origin,",796868,6.05,,,4.141,0,563,iscgem,,,,,mw
1,1970,4,3,167 km W of Yakutat,",impact-text,origin,trump-origin,",796787,6.65,,,,0,680,iscgem,,,,,mw
1,1970,4,3,162 km W of Yakutat,",impact-text,origin,trump-origin,",796590,5.79,,,,0,516,iscgem,,,,,mw
1,1970,5,3,146 km WSW of Adak,",impact-text,origin,trump-origin,",795833,5.77,,,,0,512,iscgem,,,,,mw
1,1970,6,3,179 km SE of Chignik,",impact-text,origin,",794784,5.62,,,,0,486,iscgem,,,,,mw
1,1970,6,3,125 km WSW of Adak,",impact-text,origin,",794550,5.53,,,,0,470,iscgem,,,,,mw
1,1970,6,3,92 km SE of Old Harbor,",origin,",794528,5.59,,,,0,481,iscgem,,,,,mw
1,1970,6,3,47 km NW of Beluga,",impact-text,origin,",794230,5.66,,,,0,493,iscgem,,,,,mw
1,1970,7,3,143 km WSW of Adak,",impact-text,origin,trump-origin,",793841,6.11,,,,0,574,iscgem,,,,,mw
1,1970,8,3,12 km E of Cordova,",impact-text,origin,shakemap,trump-origin,trump-shakemap,",792985,6.07,,,5.769,0,567,iscgem,,,,,mw
1,1970,8,3,6 km NW of Farmers Loop,",impact-text,origin,",792873,5.28,,,,0,429,iscgem,,,,,mw
1,1970,9,3,103 km NW of Yakutat,",origin,",791775,5.14,,,,0,406,iscgem,,,,,mw
1,1970,11,3,19 km E of Skwentna,",impact-text,origin,shakemap,trump-origin,",789808,5.66,,,4.367,0,493,iscgem,,,,,mw
1,1970,12,3,131 km WSW of Adak,",origin,",789450,5.53,,,,0,470,iscgem,,,,,mw
1,1970,12,3,67 km W of Nikolski,",origin,",789184,5.56,,,,0,476,iscgem,,,,,mw
1,1970,12,3,48 km W of Nikolski,",impact-text,origin,trump-origin,",789041,5.69,,,,0,498,iscgem,,,,,mw
1,1970,12,3,101 km ESE of Adak,",impact-text,origin,trump-origin,",788811,5.74,,,,0,507,iscgem,,,,,mw
