id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
1,105197,1370980,2253888,222997,2853620,1,2019,2
2,11104,154461,237145,22744,313867,1,2019,2
3,12400,180140,277996,31708,444239,1,2019,2
4,57775,854537,1998684,151576,2133825,1,2019,2
5,7314,98260,139790,16368,218498,1,2019,2
6,10312,144592,204456,21717,319062,1,2019,2
7,25489,401779,695256,63428,982515,1,2019,2
8,50424,687394,2084954,118634,1658537,1,2019,2
9,32647,490802,719995,78034,1154851,1,2019,2
10,25097,357668,522450,56994,816050,1,2019,2
11,160592,1856918,7209497,379559,4657478,1,2019,2
12,151590,1725274,9179002,375693,4348366,1,2019,2
13,562312,6755561,36991840,1321311,16106155,1,2019,2
14,298460,3189977,17448252,707776,7870519,1,2019,2
15,19010,285970,510634,47626,689019,1,2019,2
16,8973,136511,209156,21183,326787,1,2019,2
17,10799,165072,276572,27218,410176,1,2019,2
18,8268,135906,210253,19584,316225,1,2019,2
19,14900,221177,493663,37322,546902,1,2019,2
20,24838,378209,554106,56889,860400,1,2019,2
21,35586,538316,920151,88129,1307892,1,2019,2
22,73658,1067854,5057818,169681,2476280,1,2019,2
23,210580,3017805,9457881,506014,7208537,1,2019,2
24,35926,515687,1435120,79310,1115964,1,2019,2
25,31237,403948,589110,67518,912488,1,2019,2
26,58675,829555,1445800,130845,1819216,1,2019,2
27,329807,4008288,10830599,679495,8314910,1,2019,2
28,159848,1935649,3435437,364596,4470173,1,2019,2
29,29450,375791,642591,67974,889715,1,2019,2
30,18048,249440,776397,39714,553163,1,2019,2
31,6084,83914,145397,16357,226222,1,2019,2
32,4584,67406,120553,12376,183944,1,2019,2
33,35612,492538,773348,87276,1192563,1,2019,2
34,64664,908091,1540957,170195,2288996,1,2019,2
35,30002,380932,576180,72125,920440,1,2019,2
36,13544,191131,688684,35823,510400,1,2019,2
37,21540,288506,703119,56339,763493,1,2019,2
38,22953,336769,891919,59437,855192,1,2019,2
39,13521,199020,672876,33593,487500,1,2019,2
40,155312,1926942,3316896,374558,4666066,1,2019,2
41,12093,155396,245476,28076,358396,1,2019,2
42,15950,210935,340728,37771,498791,1,2019,2
43,37917,556536,934880,86038,1238635,1,2019,2
44,21038,293145,752842,55044,742519,1,2019,2
45,18351,246756,612581,45470,614290,1,2019,2
46,30184,427006,714152,73556,1006017,1,2019,2
47,27914,398940,1031934,72907,1041473,1,2019,2
1,165153,1447219,3977885,338206,2911483,2,2019,2
2,37637,331095,908864,76526,661651,2,2019,2
3,33257,313794,773887,76004,710551,2,2019,2
4,84357,816278,3419008,201963,1945011,2,2019,2
5,29655,272678,669283,66050,601036,2,2019,2
6,28660,283473,657829,59465,576186,2,2019,2
7,55624,532818,1835018,127455,1220880,2,2019,2
8,86727,779860,4681740,190009,1688865,2,2019,2
9,59022,538002,1272564,128257,1168589,2,2019,2
10,51676,460039,1129737,114177,1016006,2,2019,2
11,218612,1839157,11200963,470405,3983468,2,2019,2
12,194814,1683021,12670271,419961,3631863,2,2019,2
13,278474,2413912,18462919,583149,5176582,2,2019,2
14,247950,2158534,15992717,510780,4504990,2,2019,2
15,48225,479739,1559049,114837,1146201,2,2019,2
16,27537,297057,807015,66535,721520,2,2019,2
17,32090,318761,907057,80981,804400,2,2019,2
18,24834,248817,683054,59369,598186,2,2019,2
19,29896,279079,1204942,70761,666559,2,2019,2
20,56603,606902,1427740,121684,1289149,2,2019,2
21,63836,601335,1829152,143047,1354198,2,2019,2
22,106209,985143,7267399,226886,2098111,2,2019,2
23,202445,1874456,9680691,445168,4152710,2,2019,2
24,52639,479256,2418465,109484,982631,2,2019,2
25,46137,433181,965301,89767,845048,2,2019,2
26,96267,817244,2251371,184806,1578373,2,2019,2
27,257385,2036385,8539010,466694,3725293,2,2019,2
