year fiscal,id_tipo de seguro,cantidad de polizas,numero de personas nuevas aseguradas para accidentes personales,valor de la prima en miles de yen,numero de reclamos pagados,reclamos pagados en miles de yen,idcountry
2016,1,2867418,22252917,159859136,572539,78831250,2
2016,2,272120,2170911,54125610,307389,26092685,2
2016,3,1493117,8190105,13733035,25283,5256237,2
2016,4,234503,738427,8925711,19197,3418345,2
2016,5,832938,7488862,2127095,7644,749927,2
2016,6,3505066,4324656,29401442,144392,15110953,2
2017,1,2926685,22725606,176584541,600784,79531283,2
2017,2,273409,2132796,51914692,328983,26348524,2
2017,3,1510849,7310769,13319543,25286,5172309,2
2017,4,266667,770134,8653885,19305,3216204,2
2017,5,957054,7325129,2110683,7734,839974,2
2017,6,3036818,4324116,29396018,127340,13614047,2
2018,1,3231817,23131585,175697165,602677,78946531,2
2018,2,299290,2079050,49784953,327994,25849389,2
2018,3,1543428,6916500,12900767,24853,4794785,2
2018,4,299978,768564,8184005,18643,2821625,2
2018,5,1185279,7150721,2132369,7027,725593,2
2018,6,3148050,4574456,30180848,111946,12495208,2
2019,1,3611769,23860470,179384079,669998,75886516,2
2019,2,324452,2128451,49703795,341573,24704968,2
2019,3,1584006,6606878,12335302,27170,4591693,2
2019,4,337563,775394,7825735,19685,2561959,2
2019,5,1038247,6179149,1894545,7305,756759,2
2019,6,2819352,4161462,26355957,109194,12677630,2
2020,1,3767991,23550360,178074887,614999,71246925,2
2020,2,344636,1994727,46336577,301894,22125791,2
2020,3,1615406,6292406,12043140,23180,4003596,2
2020,4,383559,853100,7902173,17067,2054728,2
2020,5,349554,1191146,370108,2639,330989,2
2020,6,23309,25695,3932151,41051,5942469,2
2021,1,4092178,23411228,180002396,617040,67836103,2
2021,2,340383,1959327,44858307,298502,21443593,2
2021,3,1529360,5705939,10827923,21944,3477256,2
2021,4,352971,749457,6412728,16762,2032099,2
2021,5,428351,1646059,493518,1884,244141,2
2021,6,83613,95797,7981879,31755,5282789,2
