Clase Ocupacional Nuevos Contratos,Descuento por cobertura de accidentes laborales,No de Polizas,Muerte / Incapacidad Permanente No de Asegurados,Muerte / Incapacidad Permanente Monto Asegurado Million Yen ,Muerte / Incapacidad Permanente Prima Escrita Thousand Yen ,Hospitalizacion No de Asegurados,Hospitalizacion Monto Asegurado Por Dia Thousand Yen ,Hospitalizacion Prima Escrita Thousand Yen ,Visita Ambulatoria No de Asegurados,Visita Ambulatoria Monto Asegurado Por Dia Thousand Yen ,Visita Ambulatoria Prima Escrita Thousand Yen,Total Prima Escrita Thousand Yen ,Año,idCountry
Clase A,Aplica,61712,1647922,11928415,3817441,1364878,6596054,1310210,1084283,3254721,2568930,7696582,2021,2
Clase A,No Aplica,360847,4072584,14306472,13538856,3046911,11687250,7368392,2733534,5294944,13723861,34631111,2021,2
Clase A,Subtotal,422559,5720506,26234887,17356297,4411789,18283304,8678603,3817817,8549665,16292792,42327693,2021,2
Clase B,Aplica,35393,195901,1721534,1392418,169888,981338,540347,159807,543813,1147470,3080236,2021,2
Clase B,No Aplica,46712,276818,965050,1257563,188775,747647,602430,162361,393872,1221725,3081719,2021,2
Clase B,Subtotal,82105,472719,2686584,2649981,358663,1728985,1142778,322168,937686,2369195,6161955,2021,2
Promedio ponderado,Aplica,68914,991531,7262014,2619609,633946,3270713,864992,567569,1667174,1739971,5224573,2021,2
"Acuerdos aplicables, etc.",No Aplica,3510172,12898511,48352146,47042945,9852985,49240209,41519598,6061654,13741542,34579200,123141745,2021,2
Contrato al que se aplica la tasa promedio ponderada,Subtotal,3579086,13890042,55614160,49662554,10486931,52510923,42384591,6629223,15408716,36319172,128366318,2021,2
Total,Aplica,166019,2835354,20911964,7829468,2168712,10848106,2715551,1811659,5465709,5456372,16001392,2021,2
Total,No Aplica,3917731,17247913,63623668,61839366,13088671,61675107,49490422,8957549,19430359,49524787,160854575,2021,2
Total,Subtotal,4083750,20083267,84535632,69668834,15257383,72523213,52205973,10769208,24896069,54981160,176855968,2021,2
Clase A,Aplicado,70416,1855378,11768090,3671692,1552985,6306896,1331238,1052475,3086672,2627325,7630256,2020,2
Clase A,No Aplicado,729428,4813453,17219444,16188971,3788468,14439071,9082011,3475593,6717984,17509321,42780304,2020,2
Clase A,Subtotal,799844,6668831,28987534,19860663,5341453,20745968,10413249,4528068,9804656,20136647,50410560,2020,2
Clase B,Aplicado,40833,211826,1904243,1576497,187183,1097677,621142,175639,603224,1307688,3505328,2020,2
Clase B,No Aplicado,76270,325605,1117909,1564371,213429,876651,815475,185593,463542,1666717,4046564,2020,2
Clase B,Subtotal,117103,537431,3022152,3140868,400612,1974328,1436618,361232,1066766,2974406,7551893,2020,2
prima media,Aplicado,54677,884689,6528788,2548909,548185,2792775,769614,509814,1498357,1613351,4931875,2020,2
Contratos elegibles,No Aplicado,2779563,12161750,46648355,45214935,9376928,46880928,37851593,5631508,12743794,28900745,111967274,2020,2
Contrato al cual se aplica la tasa promedio ponderada,Subtotal,2834240,13046439,53177143,47763845,9925113,49673703,38621208,6141322,14242152,30514097,116899150,2020,2
Suma Total Aplicado,Aplicado,165926,2951893,20201123,7797099,2288353,10197349,2721995,1737928,5188254,5548365,16067460,2020,2
Suma Total no aplicado,No Aplicado,3585261,17300808,64985708,62968278,13378825,62196651,47749080,9292694,19925321,48076784,158794143,2020,2
Total,Subtotal,3751187,20252701,85186831,70765377,15667178,72394001,50471076,11030622,25113575,53625150,174861604,2020,2
Clase A,Aplicado,77545,1866386,12344217,4014939,1426621,6455417,1454904,1144315,3362856,2829920,8299763,2019,2
Clase A,No Aplicado,764840,5110691,18476606,17013201,4061821,15631320,9322990,3729107,7380740,17729045,44065237,2019,2
Clase A,Subtotal,842385,6977077,30820823,21028140,5488442,22086737,10777894,4873422,10743596,20558965,52365001,2019,2
Clase B,Aplicado,44071,247187,2148048,1681278,221142,1241940,667783,208876,682057,1358849,3707911,2019,2
Clase B,No Aplicado,81639,352903,1328432,1639472,248539,1029941,844315,219479,548735,1685143,4168931,2019,2
Clase B,Subtotal,125710,600090,3476480,3320751,469681,2271882,1512099,428355,1230792,3043993,7876843,2019,2
prima media,Aplicado,53285,761203,6146827,2620207,575573,2848847,919679,515213,1503301,1803431,5343318,2019,2
Contratos elegibles,No Aplicado,2572386,12191590,49412752,45597260,9786952,48400147,37282330,5795416,12871328,27968474,110848065,2019,2
Contrato al cual se aplica la tasa promedio ponderada,Subtotal,2625671,12952793,55559580,48217467,10362525,51248995,38202010,6310629,14374630,29771905,116191383,2019,2
Suma Total Aplicado,Aplicado,174901,2874776,20639093,8316424,2223336,10546206,3042367,1868404,5548215,5992201,17350993,2019,2
Suma Total no aplicado,No Aplicado,3418865,17655184,69217791,64249935,14097312,65061408,47449636,9744002,20800804,47382663,159082235,2019,2
Total,Subtotal,3593766,20529960,89856884,72566359,16320648,75607615,50492004,11612406,26349019,53374864,176433228,2019,2
