clase ocupacional reclamos,descuento por cobertura de accidentes laborales,no de reclamos pagados por muerte,reclamos pagados por muerte thousand yen ,incapacidad permanente no de reclamos pagados,incapacidad permanente reclamos pagados thousand yen ,hospitalizacion no de reclamos pagados,hospitalizacion reclamos pagados thousand yen ,cirugia no de reclamos pagados,cirugia reclamos pagados thousand yen ,visita ambulatoria no de reclamos pagados,visita ambulatoria reclamos pagados thousand yen ,total no de reclamos pagados,total reclamos pagados thousand yen ,year,idcountry
Class A,Aplica,46,356442,542,898366,2195,308885,1717,81548,12060,736550,16560,2381793,2021,2
Class A,No Aplica,522,2251837,3048,3532341,22033,2686349,13665,620795,121818,6652926,161086,15744251,2021,2
Class A,Subtotal,568,2608280,3590,4430708,24228,2995234,15382,702344,133878,7389476,177646,18126045,2021,2
Class B,Aplica,36,342642,225,601743,749,166698,623,39055,3809,321319,5442,1471457,2021,2
Class B,No Aplica,21,96908,296,389989,1106,179687,867,43379,6177,503459,8467,1213424,2021,2
Class B,Subtotal,57,439551,521,991732,1855,346385,1490,82434,9986,824778,13909,2684882,2021,2
tasa Promedio ponderado,Aplica,46,534015,386,727501,2063,325270,1193,80409,10647,740709,14335,2407905,2021,2
"Acuerdos aplicables, etc.",No Aplica,2643,7283773,10044,9208935,74484,10425247,49644,2822953,262825,13879776,399640,43620687,2021,2
Contrato al que se aplica la tasa promedio ponderada,Subtotal,2689,7817789,10430,9936437,76547,10750517,50837,2903362,273472,14620485,413975,46028592,2021,2
Total,Aplica,128,1233100,1153,2227611,5007,800853,3533,201012,26516,1798578,36337,6261157,2021,2
Total,No Aplica,3186,9632520,13388,13131266,97623,13291284,64176,3487129,390820,21036162,569193,60578363,2021,2
Total,Subtotal,3314,10865621,14541,15358878,102630,14092137,67709,3688141,417336,22834741,605530,66839520,2021,2
Class A,Aplica,46,356442,542,898366,2195,308885,1717,81548,12060,736550,16560,2381793,2020,2
Class A,No Aplica,522,2251837,3048,3532341,22033,2686349,13665,620795,121818,6652926,161086,15744251,2020,2
Class A,Subtotal,568,2608280,3590,4430708,24228,2995234,15382,702344,133878,7389476,177646,18126045,2020,2
Class B,Aplica,36,342642,225,601743,749,166698,623,39055,3809,321319,5442,1471457,2020,2
Class B,No Aplica,21,96908,296,389989,1106,179687,867,43379,6177,503459,8467,1213424,2020,2
Class B,Subtotal,57,439551,521,991732,1855,346385,1490,82434,9986,824778,13909,2684882,2020,2
tasa Promedio ponderado,Aplica,46,534015,386,727501,2063,325270,1193,80409,10647,740709,14335,2407905,2020,2
"Acuerdos aplicables, etc.",No Aplica,2643,7283773,10044,9208935,74484,10425247,49644,2822953,262825,13879776,399640,43620687,2020,2
Contrato al que se aplica la tasa promedio ponderada,Subtotal,2689,7817789,10430,9936437,76547,10750517,50837,2903362,273472,14620485,413975,46028592,2020,2
Total,Aplica,128,1233100,1153,2227611,5007,800853,3533,201012,26516,1798578,36337,6261157,2020,2
Total,No Aplica,3186,9632520,13388,13131266,97623,13291284,64176,3487129,390820,21036162,569193,60578363,2020,2
Total,Subtotal,3314,10865621,14541,15358878,102630,14092137,67709,3688141,417336,22834741,605530,66839520,2020,2
Class A,Aplica,60,494076,659,1335929,2518,417729,1865,91883,14171,923519,19273,3263138,2019,2
Class A,No Aplica,629,2685072,3695,4639366,25612,3287067,15843,737627,153328,8459413,199107,19808547,2019,2
Class A,Subtotal,689,3179148,4354,5975296,28130,3704797,17708,829510,167499,9382933,218380,23071686,2019,2
Class B,Aplica,33,345191,275,749274,992,266703,753,49330,4879,447661,6932,1858161,2019,2
Class B,No Aplica,38,142825,344,524711,1386,227289,984,47981,7927,680810,10679,1623618,2019,2
Class B,Subtotal,71,488016,619,1273985,2378,493993,1737,97312,12806,1128471,17611,3481779,2019,2
tasa Promedio ponderado,Aplica,48,421926,422,823673,1440,256861,1098,70568,8692,551903,11700,2124933,2019,2
"Acuerdos aplicables, etc.",No Aplica,2424,7431561,12059,10576011,74078,10446871,50117,2802804,270964,14746713,409642,46003961,2019,2
Contrato al que se aplica la tasa promedio ponderada,Subtotal,2472,7853487,12481,11399685,75518,10703733,51215,2873372,279656,15298616,421342,48128895,2019,2
Total,Aplica,141,1261194,1356,2908877,4950,941294,3716,211782,27742,1923084,37905,7246233,2019,2
Total,No Aplica,3091,10259459,16098,15740089,101076,13961228,66944,3588412,432219,23886937,619428,67436127,2019,2
Total,Subtotal,3232,11520653,17454,18648967,106026,14902523,70660,3800195,459961,25810021,657333,74682361,2019,2
