clase ocupacional nuevos contratos,no de polizas,muerte / incapacidad permanente no de asegurados,muerte / incapacidad permanente monto asegurado million yen ,muerte / incapacidad permanente prima escrita thousand yen ,hospitalizacion no de asegurados,hospitalizacion monto asegurado por dia thousand yen ,hospitalizacion prima escrita thousand yen ,visita ambulatoria no de asegurados,visita ambulatoria monto asegurado por dia thousand yen ,visita ambulatoria prima escrita thousand yen,total prima escrita thousand yen ,year,idcountry
Clase A,37557,610468,1984800,1639177,490702,1797489,1183105,487880,996682,2479742,5302025,2021,2
Clase B,3795,12154,44478,70060,11590,40819,43652,11250,23193,98696,212409,2021,2
Contrato al que se aplica la tasa promedio ponderada,298261,1225936,4577957,4477173,1091860,5304005,3605460,991771,2049446,5369253,13451886,2021,2
Cobertura de accidentes no laborales,770,46211,37019,18296,6322,28863,10347,6307,17340,25103,53748,2021,2
Subtotal,340383,1894769,6644255,6204707,1600474,7171178,4842566,1497208,3086663,7972795,19020069,2021,2
Esposo,"(283,935)",1807592,4871263,3426208,1513964,6486421,3110013,1422728,2671444,5855855,12392076,2021,2
Otros Parientes,"(225,879)",1241629,2592068,3524482,1075798,3708854,4307354,1022313,1571096,5614323,13446160,2021,2
  Total,340383,1894769,14107587,13155398,1600474,17366455,12259933,1497208,7329204,19442974,44858307,2021,2
Clase A,65490,614507,2204497,1829898,503199,1992778,1350112,499075,1117475,2877705,6057716,2020,2
Clase B,6916,15205,58468,101866,15055,55371,66268,14604,31296,147251,315386,2020,2
Contrato al que se aplica la tasa promedio ponderada,271084,1263005,4708343,4652054,1088305,5395578,3591846,979000,2067645,5022999,13266900,2020,2
Cobertura de accidentes no laborales,1146,38152,38488,20688,7657,32640,12448,7641,19772,30379,63515,2020,2
Subtotal,344636,1930869,7009798,6604507,1614216,7476369,5020675,1500320,3236189,8078336,19703520,2020,2
Esposo,-297.101,1858475,5175805,3676827,1537651,6813734,3248677,1437852,2819167,6015281,12940786,2020,2
Otros Parientes,-232.372,1253553,2732898,3728497,1063584,3834674,4261261,1005721,1633839,5702511,13692271,2020,2
  Total,344636,1930869,14918502,14009833,1614216,18124778,12530615,1500320,7689196,19796129,46336577,2020,2
Clase A,65612,654402,2446557,2055320,540074,2142595,1400944,534870,1194894,2941507,6397772,2019,2
Clase B,7062,16245,64368,102272,16024,59357,66265,15476,33210,144513,313051,2019,2
Contrato al que se aplica la tasa promedio ponderada,250527,1358947,5375641,5005102,1193991,6008290,3801025,1077371,2158418,5034516,13840644,2019,2
Cobertura de accidentes no laborales,1251,38084,43449,51343,8058,33773,13084,8030,20449,31218,95646,2019,2
Subtotal,324452,2067678,7930017,7214038,1758147,8244017,5281320,1635747,3406972,8151754,20647114,2019,2
Esposo,-279.57,1996212,5756434,4077856,1683320,7864845,3609118,1574718,2977529,6307296,13994271,2019,2
Otros Parientes,-210.131,1371735,2904170,3997643,1196409,4447964,4843023,1134146,1753707,6221742,15062409,2019,2
  Total,324452,2067678,16590622,15289538,1758147,20556828,13733462,1635747,8138209,20680793,49703795,2019,2
