Clase Ocupacional Reclamos,No de Reclamos Pagados por Muerte,Reclamos pagados Por Muerte Thousand Yen ,Incapacidad Permanente No de Reclamos Pagados,Incapacidad Permanente Reclamos Pagados Thousand Yen ,Hospitalizacion No de Reclamos Pagados,Hospitalizacion Reclamos Pagados Thousand Yen ,Cirugia No de Reclamos Pagados,Cirugia Reclamos Pagados Thousand Yen ,Visita ambulatoria No de Reclamos Pagados,Visita ambulatoria Reclamos Pagados Thousand Yen ,Total No de Reclamos Pagados,Total Reclamos Pagados Thousand Yen ,año,idCountry
Clase A,96,293727,563,648307,3287,442740,2075,113919,21491,1164662,27512,2663357,2021,2
Clase B,4,10523,24,31298,118,15574,83,3810,657,36414,886,97621,2021,2
Contrato al que se aplica la tasa promedio ponderada,288,752675,1852,1614809,7716,1178648,6027,317665,65402,3133215,81285,6997014,2021,2
Cobertura de accidentes no laborales,0,84,45,13092,30,2514,25,1075,346,24717,446,41483,2021,2
Subtotal,388,1057010,2484,2307507,11151,1639478,8210,436470,87896,4359008,110129,9799476,2021,2
Esposo,201,481411,1882,1236476,8407,1313377,5965,311031,58033,2644089,74488,5986385,2021,2
Otros Parientes,205,482319,1597,903814,10804,1497551,7435,305326,93844,2468718,113885,5657731,2021,2
  Total,794,2020741,5963,4447798,30362,4450407,21610,1052828,239773,9471817,298502,21443593,2021,2
Clase A,111,396991,599,540962,3383,480304,2062,117792,23415,1279144,29570,2815195,2020,2
Clase B,2,4076,29,38467,116,15051,82,3857,800,44844,1029,106297,2020,2
Contrato al que se aplica la tasa promedio ponderada,259,778127,1962,1606775,8214,1278494,6136,327223,65876,3193137,82447,7183757,2020,2
Cobertura de accidentes no laborales,1,5069,45,15587,37,4201,34,1511,357,25042,474,51412,2020,2
Subtotal,373,1184264,2635,2201792,11750,1778051,8314,450384,90448,4542168,113520,10156662,2020,2
Esposo,170,399664,1953,1272183,8372,1306528,5966,313372,59871,2733731,76332,6025479,2020,2
Otros Parientes,215,502123,1785,984231,11024,1638913,7455,316788,91563,2501593,112042,5943649,2020,2
  Total,758,2086051,6373,4458207,31146,4723493,21735,1080545,241882,9777493,301894,22125791,2020,2
Clase A,114,409197,596,676508,3738,504328,2271,134122,26732,1468490,33451,3192647,2019,2
Clase B,4,45678,38,44271,158,21532,112,4771,874,57709,1186,173964,2019,2
Contrato al que se aplica la tasa promedio ponderada,279,878049,2174,1657980,8902,1405215,6897,373078,72993,3466011,91245,7780335,2019,2
Cobertura de accidentes no laborales,0,95,50,10607,51,4039,41,1959,435,27930,577,44633,2019,2
Subtotal,397,1333021,2858,2389368,12849,1935115,9321,513931,101034,5020141,126459,11191580,2019,2
Esposo,196,428097,2032,1371623,9151,1451985,6426,341745,66248,3117845,84053,6711297,2019,2
Otros Parientes,227,536621,1953,1105377,12418,1900069,8364,365686,108099,2894336,131061,6802091,2019,2
  Total,820,2297740,6843,4866369,34418,5287170,24111,1221363,275381,11032324,341573,24704968,2019,2
