,Prefecture,2015,2016,2017,2018,2019,2020,2021,2019 año Calendario Hogar,2020 año Calendario Hogar,2021 año Calendario Hogar,idCountry
0,Hokkaido,51.0,52.4,53.3,56.6,59.1,60.6,61.8,26.7,27.7,28.6,2
1,Aomori,61.8,62.9,63.9,65.5,67.0,68.6,70.1,22.5,23.1,23.9,2
2,Iwate,66.8,67.9,69.1,70.4,72.3,73.7,75.0,25.3,25.9,26.6,2
3,Miyagi,86.2,86.4,86.3,86.8,87.0,87.5,88.7,52.0,51.9,52.7,2
4,Akita,68.5,69.5,70.8,72.0,73.3,74.4,74.8,23.5,24.2,24.9,2
5,Yamagata,60.9,62.5,63.3,64.8,66.3,67.9,68.7,23.7,24.4,25.4,2
6,Fukushima,70.5,72.2,73.1,74.1,75.2,76.7,79.3,31.8,32.7,34.4,2
7,Ibaraki,60.5,61.9,62.2,63.8,64.6,66.0,66.5,30.4,31.2,31.8,2
8,Tochigi,62.2,64.2,65.6,67.6,69.7,71.4,72.7,30.5,31.7,32.7,2
9,Gumma,54.7,56.6,57.6,59.9,62.2,63.9,65.0,24.7,25.8,26.8,2
10,Saitama,58.9,60.4,60.8,62.8,63.4,64.9,65.5,32.7,33.3,33.7,2
11,Chiba,56.9,58.7,59.3,61.1,62.3,63.9,64.7,34.4,35.3,35.9,2
12,Tokyo,56.8,58.1,58.2,59.7,60.4,61.7,62.1,37.3,37.7,37.9,2
13,Kanagawa,58.2,59.3,59.7,61.2,61.9,63.1,63.6,36.4,37.0,37.3,2
14,Niigata,62.4,64.0,65.8,68.0,69.6,71.0,72.3,24.3,25.1,26.0,2
15,Toyama,51.2,54.1,56.1,58.6,60.3,61.8,62.5,24.4,25.4,26.3,2
16,Ishikawa,53.4,56.2,57.1,59.5,60.7,62.5,63.4,27.4,28.4,29.4,2
17,Fukui,58.0,59.7,61.2,64.5,66.3,68.6,69.6,31.1,32.6,33.8,2
18,Yamanashi,67.7,69.8,70.4,71.5,73.5,74.2,74.9,34.7,35.5,36.1,2
19,Nagano,54.4,56.7,59.2,62.1,64.7,66.4,67.8,24.8,26.1,27.1,2
20,Gifu,73.1,74.6,76.1,76.9,77.7,79.3,79.1,38.5,39.1,40.1,2
21,Shizuoka,62.7,64.4,65.1,66.1,66.8,68.1,68.0,32.3,32.5,32.8,2
22,Aichi,71.1,72.9,73.7,74.1,74.6,76.6,76.2,43.0,43.3,44.2,2
23,Mie,64.8,66.2,67.7,69.6,71.8,72.7,73.8,30.5,31.4,32.3,2
24,Shiga,55.6,57.5,58.7,63.2,65.7,67.6,68.4,32.0,33.3,34.5,2
25,Kyoto,53.2,55.7,56.8,60.5,63.1,64.8,65.8,33.8,35.2,36.4,2
26,Osaka,57.5,59.0,59.8,63.9,66.5,68.5,69.6,35.6,36.8,37.6,2
27,Hyogo,54.3,56.2,57.8,61.9,64.6,66.9,68.1,31.0,32.3,33.4,2
28,Nara,61.7,63.8,64.8,68.1,70.2,72.0,73.3,32.2,33.4,34.2,2
29,Wakayama,59.3,61.0,61.6,64.4,67.1,68.9,70.9,29.4,31.0,32.3,2
30,Tottori,64.2,66.8,69.0,72.6,74.5,76.7,77.3,28.7,29.7,30.7,2
31,Shimane,55.5,57.8,59.1,62.7,64.1,66.1,67.6,19.2,20.1,21.0,2
32,Okayama,53.6,56.8,58.0,62.2,64.8,66.6,67.6,27.0,28.4,29.4,2
33,Hiroshima,65.7,67.0,68.0,70.7,72.6,74.4,75.5,32.2,33.1,33.9,2
34,Yamaguchi,57.6,60.1,61.8,64.5,66.7,68.1,68.9,27.9,28.8,29.5,2
35,Tokushima,72.4,73.8,73.3,74.7,75.3,75.8,76.2,30.9,31.5,32.0,2
36,Kagawa,66.3,68.8,70.2,72.6,74.1,75.4,76.0,34.5,35.2,35.9,2
37,Ehime,63.9,66.0,67.4,70.5,72.4,74.2,75.4,27.3,28.2,29.1,2
38,Kochi,84.2,84.8,85.2,86.2,86.8,87.2,87.8,27.5,27.8,28.1,2
39,Fukuoka,64.0,67.2,68.8,71.5,73.3,75.3,76.3,37.6,38.2,38.7,2
40,Saga,44.7,50.1,52.6,55.7,58.4,60.9,62.3,26.1,27.4,28.6,2
41,Nagasaki,39.2,45.0,47.5,50.1,52.0,53.6,54.4,18.8,19.6,20.3,2
42,Kumamoto,63.8,74.3,77.5,80.0,82.3,84.5,85.3,42.8,43.5,43.9,2
43,Oita,62.9,65.9,67.6,69.7,71.5,73.1,73.8,27.6,28.3,29.1,2
44,Miyazaki,76.3,79.0,80.3,81.4,83.0,83.7,84.2,28.3,28.9,29.2,2
45,Kagoshima,73.0,76.3,78.0,80.3,81.7,83.2,83.6,29.5,30.0,30.4,2
46,Okinawa,51.5,54.2,55.6,56.6,57.6,58.4,58.0,16.6,17.2,17.6,2
47,Total,60.2,62.1,63.0,65.2,66.7,68.3,69.0,33.1,33.9,34.6,2
