ubicacion,id_ubicacion
Alaska,1
Arizona,2
California,3
Colorado,4
Hawaii,5
Idaho,6
Montana,7
Nevada,8
New Mexico,9
Oregon,10
Texas,11
Utah,12
Washington State,13
Wyoming,14
Japan,15
Mexico,16
 GRO,17
 CHIS,18
 SON,19
 JAL,20
 OAX,21
 MICH,22
 VER,23
 BC,24
 BCS,25
 COL,26
 TAB,27
 SIN,28
 QR,29
 CHIH,30
 NAY,31
 HGO,32
 PUE,33
 YUC,34
 MEX,35
 COAH,36
 NL,37
 SLP,38
 GTO,39
 TAMS,40
 ZAC,41
 QRO,42
 CAMP,43
 TLAX,44
 DGO,45
 CDMX,46
 MOR,47
 GRO ,48
 MICH ,49
 CHIS ,50
 COL ,51
 OAX ,52
 BCS ,53
 VER ,54
 SLP ,55
 NAY ,56
 TAB ,57
 BC ,58
 JAL ,59
 SIN ,60
 SON ,61
 QR ,62
 PUE ,63
 DGO ,64
 COAH ,65
 Alabama,66
 Aleutian Islands,67
 Alaska,68
,69
 Arizona,70
 Arkansas,71
 California,72
 Mexico,73
 California Earthquake,74
 Colombia,75
 Ecuador,76
 Colorado,77
 Georgia,78
 Hawaii,79
 Idaho,80
 Illinois,81
 Indiana,82
 Kansas,83
 Kentucky,84
 Louisiana,85
 Maine,86
 Maryland,87
 Massachusetts,88
 Michigan,89
 Minnesota,90
 Missouri,91
 Montana,92
 Nebraska,93
 Nevada,94
 New Hampshire,95
 New Mexico,96
 New York,97
 North Carolina,98
 Ohio,99
 Oklahoma,100
 Oregon,101
 Pennsylvania,102
 South Carolina,103
 South Dakota,104
 Tennessee,105
 Texas,106
 Utah,107
 South Africa,108
 Virginia,109
 Washington,110
 New Washington,111
 Wyoming,112
"Mexico City, Michoacan",113
"Michoacan, Colima, Jalisco",114
Oaxaca,115
Guerrero,116
Chiapas; Guatemala (San Marcos),117
"Mexico City, Morelos, Puebla",118
"Oaxaca, Chiapas, Tabasco; Guatemala",119
Cocotitlan,120
San Marcos,121
Tecpan,122
Guerrero; Mexico City,123
"San Marcos, Acapulco",124
"Guerrero, Oaxaca",125
San Andres Huaxpaltepec,126
Baja California,127
Mexicali,128
"Guerrero, Atoyac",129
Gulf Of Mexico,130
"Guerrero, Mexico City",131
"Villa De Alvarez, Colima, Tecoman, Jalisco",132
Acapulco,133
"Mexicali, Baja California",134
"Veracruz (San Andres Tuxtla, Tuxtepec)",135
Guerrero (Coahuayutla; Michoacan: Cuitzeo),136
"Puebla, Veracruz, Oaxaca, Morelos, Guerrero",137
"Oaxaca, San Agustin, San Francisco",138
"Michoacan, Arteaga",139
Off Coast Of Guerrero,140
"Jalisco, Manzanillo, San Patricio Melaque",141
"Guerrero, Oaxaca, Puebla, Mexico City",142
"Mexico City, Acapulco",143
Sw Coast (Mexico City),144
Michoacan (Mexico City),145
Oaxaca (Salina Cruz),146
"Guererro, Orziba, Oaxaca, Guadalupe",147
Chiapas,148
Michoacan (Lazaro Cardenas),149
"S, Huajapan De Leon, Oaxaca",150
Nw,151
Mexico City,152
"Veracruz, Mexico City",153
"S, Farias, Tecoman",154
South Chiapas,155
"Oaxaca, Guerrero",156
"Me\Xico City, Oaxaca",157
S,158
Gulf Of Campeche,159
Oaxaca;,160
"Acapulco, mexico City",161
Oaxaca (Miahiatlan),162
"Honshu (Ishikawa, Toyama)",163
Off Fukushima,164
Honshu Island,165
Niigata Prefecture,166
Hokkaido,167
Osaka,168
Honshu (S. Of),169
Shimane Prefecture,170
Near E Coast Honshu,171
Kurayoshi,172
Off East Coast Honshu,173
"Kumamoto, Oita",174
Kyusyu Island,175
Bonin Islands [chichijima Island],176
Honshu,177
"Nagano (Hakuba, Otari)",178
Sanriku,179
Southwestern,180
Honshu (E Coast),181
Miyakejima,182
Japan,183
Honshu (Miyagi Prefecture),184
Bonin Islands,185
"Tori Shima, Okinawa",186
Honshu (Ito),187
Honshu (S Coast),188
Off East Coast Of Honshu Island,189
Honshu (Tokyo),190
Volcano Islands,191
Honshu (W Coast),192
Kyushu,193
East Coast Honshu,194
"Kyushu (Fukuoka, Genkai)",195
"Hokkaido (Obiro, Haboro, Tomamae)",196
Hokkaido (Kushiro),197
"Hokkaido (Bekkai, Kushiro, Nemouro)",198
Honshu (Niigata Prefecture),199
"Honshu (W Coast: Kyoto, Wakayama, Sakai)",200
Honshu (W Coast: Kyoto),201
Near S Coast Honshu (Atsugi),202
"Honshu (Miyagi, Iwate)",203
"Honshu (Iwate, Miyagi, Yamagata, Akita)",204
Ryukyu Islands,205
"Hiroshima, Okayama, Honshu, Kagama",206
"Honshu (W: Okayama, Tottori)",207
Near S Coast Honshu (Nii-Jima),208
Near S Coast Honshu (Kozu-Shima),209
"Kyushu, Kagoshima",210
Kyushu Island,211
"Honshu Island, Japan",212
Ryuku Is.,213
"Niigata Prefecture, Sado",214
